0,1,2,3,4,5,6,7,8,9,10
,,0.56,,,,0.19081272084805656,,0.3307086614173227,,
,,,,,,0.12014134275618375,,,,
,0.3287671232876712,,,0.0951585976627713,,0.1872791519434629,,,,
0.2831858407079646,0.3150684931506849,,0.07534246575342465,,,,,0.48818897637795233,0.1437125748502994,0.1692307692307693
,0.3150684931506849,0.08,,0.1419031719532554,,,,,,
0.08849557522123891,0.3390410958904109,,,,0.2112676056338028,,,0.6614173228346458,,
,,,0.04794520547945205,,,0.0812720848056537,,,0.7365269461077846,
,0.3424657534246575,,0.20547945205479448,0.26377295492487485,0.7042253521126761,,,,0.35928143712574856,
0.34513274336283184,,,,0.1335559265442404,,,,0.44094488188976344,0.25149700598802394,
,,,,0.5943238731218697,,,,0.29133858267716484,,0.13846153846153864
,,0.08,0.23972602739726026,0.12353923205342235,0.07042253521126761,,,,,
0.2920353982300885,0.136986301369863,,,0.5492487479131887,0.22535211267605634,,,,,
,0.0684931506849315,,,,0.3943661971830986,0.19081272084805656,,,0.1197604790419162,
0.34513274336283184,0.25342465753424653,,,,,,,0.3385826771653542,,
0.20353982300884965,,0.14,0.10273972602739725,,,,,,,0.19999999999999996
0.1504424778761062,,,,,,,,0.47244094488188937,,0.13846153846153864
,,,,0.15692821368948245,,,,,,0.1692307692307693
,,,0.0684931506849315,0.11352253756260433,,0.10247349823321555,,0.5748031496062991,0.1317365269461078,
,,0.0,,,,0.0353356890459364,,,,
0.18584070796460184,,,,0.12854757929883137,,,0.42070484581498135,,,
0.20353982300884965,,,,0.15525876460767946,0.295774647887324,,0.47944199706314805,,0.1437125748502994,
0.32743362831858414,,,,,0.19718309859154928,,0.47944199706314805,,0.1976047904191617,0.2153846153846155
,,0.0,,,,,0.6262848751835577,,,0.18461538461538463
0.3097345132743363,,,0.0821917808219178,0.09015025041736227,,,,,,
0.09734513274336287,,,0.0410958904109589,,,,0.28854625550661694,,,
,0.226027397260274,,,,,,,0.46456692913385833,0.29940119760479045,0.32307692307692304
0.23893805309734517,,,,0.1035058430717863,,,,0.46456692913385833,0.29940119760479045,
0.256637168141593,,,0.11643835616438356,,0.09859154929577466,,,0.3700787401574801,,
0.3097345132743363,,,0.08904109589041095,,,,,,,
0.19469026548672563,,,,,,0.0176678445229682,,0.5826771653543306,0.1137724550898204,0.1692307692307693
0.2743362831858408,0.5582191780821918,,,,0.295774647887324,,0.5088105726872243,0.40157480314960603,0.2395209580838323,
0.08849557522123891,,,0.03424657534246575,,,,,,,
,,,,0.1035058430717863,,,,,,
,,,,,,,,,,
,,0.04,0.19863013698630136,,0.33802816901408456,0.13780918727915192,,,0.1197604790419162,
,0.2054794520547945,,,0.09682804674457429,,,,,0.17964071856287425,0.18461538461538463
,,,,,,,,0.4094488188976375,,0.15384615384615397
,,0.18,,,0.22535211267605634,,0.5455212922173303,,,
,,0.4,,0.11185308848080133,0.25352112676056343,0.1625441696113074,,,0.18562874251497005,
0.256637168141593,,,,,0.15492957746478872,,0.4941262848751933,,0.17365269461077845,
,,0.05,,,,,,,0.1437125748502994,
0.23008849557522126,,0.05,,,0.04225352112676056,0.0176678445229682,,,0.035928143712574856,
0.256637168141593,0.273972602739726,,0.0410958904109589,,0.14084507042253522,,,0.5354330708661417,,
,,,,,,,,0.47244094488188937,,
0.32743362831858414,0.3801369863013699,0.26,,,,,,0.44881889763779537,0.1197604790419162,0.12307692307692308
0.4513274336283185,,,0.1095890410958904,,0.3802816901408451,,,,,
,,0.64,,,,,,,,0.32307692307692304
0.3716814159292037,,0.64,,0.1352253756260434,,,,,,
0.19469026548672563,,,0.10273972602739725,0.15358931552587646,0.18309859154929578,,,,0.1317365269461078,0.3538461538461537
,,0.47,0.07534246575342465,,,,,0.48818897637795233,,
0.23893805309734517,,,0.06164383561643835,0.6494156928213689,,0.1590106007067138,,,,0.15384615384615397
,,,0.08904109589041095,,,,0.4427312775330421,0.5275590551181102,,0.2615384615384615
,,,,0.16360601001669448,0.26760563380281693,,,,,
0.2743362831858408,,,0.0684931506849315,,0.11267605633802817,0.08833922261484099,,,,0.18461538461538463
0.4159292035398231,0.18493150684931509,,0.0821917808219178,,,,0.567547723935391,,,
0.21238938053097345,,,,,,,0.567547723935391,,,
0.2920353982300885,,0.26,0.0684931506849315,,0.5774647887323944,,,,0.125748502994012,0.1692307692307693
0.35398230088495575,0.25342465753424653,,,,,,,,,0.23076923076923084
0.35398230088495575,0.25342465753424653,,0.07534246575342465,0.16360601001669448,,,,,,0.2153846153846155
0.03539823008849563,,,0.03424657534246575,,,0.2791519434628975,0.2738619676945717,,,0.32307692307692304
,,,,0.07679465776293823,,,0.22980910425845025,,,
,,,,,,,,0.5590551181102361,0.13772455089820365,
0.2654867256637168,,,,,,,,0.5118110236220472,,
0.2831858407079646,0.2602739726027397,,,,,,,,,
0.3097345132743363,0.2910958904109589,,,0.11352253756260433,0.16901408450704225,,,,0.155688622754491,0.0923076923076922
,,,,,,0.20848056537102472,0.48678414096916356,,,0.12307692307692308
0.23008849557522126,,,,,,,,0.46456692913385833,,0.15384615384615397
