0,1,2,3,4,5
,0.5428571428571427,,,0.4835164835164836,
,,,0.46456692913385833,,0.23076923076923084
,,,0.46456692913385833,,0.46153846153846156
,,0.5500000000000007,,0.4835164835164836,
,,,0.46456692913385833,,
,,0.5500000000000007,0.46456692913385833,,
,,,,,
,0.5571428571428569,0.5500000000000007,,,
,0.5571428571428569,,,1.0,0.07692307692307687
,,0.5500000000000007,,,
,,0.5500000000000007,0.09055118110236227,,
,,,,,0.3076923076923077
,,,,1.0,0.3846153846153846
0.54,,,,1.0,
,,,,,
0.54,0.5571428571428569,0.5500000000000007,,1.0,
,,,,,
,,,,1.0,0.8461538461538463
0.54,0.5571428571428569,,,1.0,
,,,,0.03296703296703285,
0.54,0.5,,1.0,,
,,,,,
,,0.5500000000000007,,,
,0.5,,,0.03296703296703285,
0.54,0.5,,1.0,,
,,,1.0,,
0.54,,0.5500000000000007,,,0.8461538461538463
0.54,,,,0.03296703296703285,
0.54,0.5,0.5500000000000007,,,
,,,0.44881889763779537,,
,,,,0.8791208791208791,
,0.48571428571428577,,0.44881889763779537,,0.15384615384615374
0.54,,0.9500000000000002,,,
,,,0.44881889763779537,0.8791208791208791,
,,,0.44881889763779537,,
,0.48571428571428577,0.9500000000000002,,0.8791208791208791,0.5384615384615383
,,,,,
0.54,,,0.44881889763779537,,
0.52,0.6285714285714281,,,0.03296703296703285,0.0
0.52,,,,,0.07692307692307687
0.52,0.6285714285714281,,,,
,,,,,
0.52,0.6285714285714281,,,,
0.52,0.6285714285714281,,,0.03296703296703285,
,,,,,
,,,,0.03296703296703285,
,,,,,0.9230769230769229
,,0.025000000000000355,,0.03296703296703285,
,0.5428571428571427,,,,0.07692307692307687
,,,0.0669291338582676,,
,,0.0,,0.4615384615384617,
,,0.0,,0.4615384615384617,0.3076923076923077
,,,,,
0.52,0.5428571428571427,,0.0669291338582676,,0.46153846153846156
,,,,0.4615384615384617,
,0.5428571428571427,,0.0669291338582676,,
,0.5428571428571427,,,,0.7692307692307692
0.52,,,,,
,0.5428571428571427,,,,0.9230769230769229
0.52,,0.0,0.0669291338582676,0.4615384615384617,1.0
,0.45714285714285907,1.0,0.8425196850393704,,
0.54,0.45714285714285907,1.0,,0.4835164835164836,0.15384615384615374
,0.45714285714285907,,,0.4835164835164836,
,0.45714285714285907,1.0,,0.4835164835164836,
0.54,,1.0,,,0.5384615384615383
,0.45714285714285907,1.0,,,0.6153846153846154
0.54,0.45714285714285907,1.0,,,0.6923076923076921
,,1.0,0.8425196850393704,,
,,,,,
,,,0.8425196850393704,0.4835164835164836,
,,,,,
,,,,,
,,0.5500000000000007,,,
,,,,,
,,,,,
,,,,,
,,,0.405511811023622,0.6483516483516483,
,,0.5500000000000007,0.405511811023622,,
,,,,0.6483516483516483,
0.52,,0.5500000000000007,,0.6483516483516483,0.7692307692307692
0.5599999999999999,,,,0.37362637362637363,0.0
,0.22857142857142954,,0.5196850393700787,0.37362637362637363,0.15384615384615374
,0.22857142857142954,0.5500000000000007,,0.37362637362637363,0.23076923076923084
,,,,,
,0.22857142857142954,,,,0.46153846153846156
,0.22857142857142954,,,,0.7692307692307692
,0.22857142857142954,0.5500000000000007,0.5196850393700787,,
0.5599999999999999,,,,,
,,0.5374999999999996,,0.4615384615384617,0.0
,0.5,,,0.4615384615384617,
1.0,,,,0.4615384615384617,0.3076923076923077
1.0,0.5,,,0.4615384615384617,
,,,,,
,0.5,,,,
1.0,,,,0.4615384615384617,0.6153846153846154
,0.5,,,,
,,,,,
1.0,,,0.46456692913385833,,
0.0,,0.5374999999999996,,0.4615384615384617,0.15384615384615374
0.0,,,,,
0.0,,0.5374999999999996,0.46456692913385833,,0.46153846153846156
,,,,,
,0.5,0.5374999999999996,,,
0.0,,,0.46456692913385833,,0.7692307692307692
,,0.5374999999999996,,,
,,,,,
,,,,0.4615384615384617,
,,,,0.8571428571428568,
,,,0.4448818897637796,,
1.0,,,,,0.3846153846153846
,0.5,0.9500000000000002,0.4448818897637796,,
,,,,,
,,,,,
1.0,,,,0.8571428571428568,0.7692307692307692
,,,0.4448818897637796,0.8571428571428568,
,0.5,,,,0.9230769230769229
1.0,0.5,,,,1.0
,0.5,,,,
,,,0.4448818897637796,,0.07692307692307687
0.0,,,0.4448818897637796,,
,0.5,0.9500000000000002,,0.8571428571428568,
,,,,0.8571428571428568,
0.0,,0.9500000000000002,,0.8571428571428568,
,,,,,
,0.5,0.9500000000000002,,,
0.0,,0.9500000000000002,,,0.6923076923076921
0.0,,,,0.8571428571428568,
0.0,0.5,,,,
,,,,,
0.0,0.5,0.9500000000000002,,,
0.54,0.0,,,0.8571428571428568,
0.54,,,,,
0.54,,0.9625000000000012,,,
,,,,0.8571428571428568,
0.54,,,,0.8571428571428568,
0.54,0.0,,0.3464566929133859,0.8571428571428568,
0.54,0.0,,0.3464566929133859,,
0.54,,0.9625000000000012,,,0.8461538461538463
,,0.9625000000000012,,0.8571428571428568,0.9230769230769229
,0.0,,,,1.0
,,,0.34251968503937014,0.4725274725274726,
,,,,,
,,,,,0.15384615384615374
,,,0.34251968503937014,,
,,,,,0.3076923076923077
,0.0,,,,0.6153846153846154
,,,0.34251968503937014,,
,0.0,,0.34251968503937014,,
