0,1,2,3,4,5,6,7,8
0.2966366786786866,0.2617198242613275,0.46381829798635577,0.42300830429721537,,0.32375781551224714,,,
,,,0.11999574381439464,,0.09750765132823103,,0.11142857142857143,
,,,0.15871171278323618,,0.08795478972441095,0.028136776689960764,0.08285714285714285,0.588524913345428
,0.08944159372170239,0.28916506935427355,,,,,0.11714285714285715,
,0.048126236710601344,,,,,0.030526341323309315,,
0.11928161656197657,0.09308246973203207,0.345782064758136,,0.11587071196415913,,,,
0.25763059917089165,,,,,,,,0.3784003653341785
0.13304492088138914,0.09916825971761077,,,0.1367011051102478,,0.03636117546909966,0.07428571428571429,
0.11063774395403113,,0.3163090747954409,,,,0.029838457804415124,,
,0.1517476607304558,,,0.08775223354705369,0.11258556988448506,0.02055354047172311,0.02,
,,,,0.1794596356116075,0.15778896033737874,0.032057184187324804,0.09142857142857143,0.5449742843667416
,,,,,,,,0.2891954413082158
,,,0.5170371377263222,,0.35340803647215513,,,
,,0.39116634720418797,0.06655387403417594,,,,,
,0.36426736425529066,,,,0.38707635227604953,,,0.2690621342603106
,,,,,,,,0.21411228036902746
,,0.531379459593149,0.3606696695801668,,,,,
0.14173501740702416,,0.17481811249201343,0.18733762498715203,0.1389850671482466,,,0.07714285714285714,0.5478739996356639
,,,,0.17548641490246103,0.16026054767550743,,,
,,,,0.14898385740863196,,,,
,,0.5733424019456296,,,,,,0.48388312300831743
,0.06947714391119161,,0.1795567160408337,,,,0.22857142857142856,0.5735047875247363
,,0.43451019188359197,,0.24331315803497322,0.22436469612892931,0.040128583627258504,0.38,
,0.1654344836838046,,,0.23329075075381467,,0.04200846508250214,,
,,,,0.3288850039263989,,,0.19428571428571428,0.29966136715835395
,,,,0.09178504789756983,,,,
,,,,,,,0.2885714285714286,0.35577410169965246
0.03649564259879366,0.05165979139417112,0.4516993342814155,,,,,0.04857142857142857,0.7261465978254631
0.10620954577031229,,0.4750097899791833,,,0.08805330013403065,,,
,0.3891249958077608,,,,0.5144955066542193,,0.9342857142857143,
,,0.33090129639934873,0.15497612998524535,0.1203729067811295,0.08838537554710352,,0.06857142857142857,
,0.1616950062045142,0.5483212762010758,,,,,,
,,0.4934767822914734,0.2445705082548552,0.1812401452029514,,,,
,,,0.20486040797544552,,,,,0.5216817350378935
,,0.24734640037923286,,,0.15669263481096596,,0.10571428571428572,
0.3283266277659635,,,0.33325515470594014,0.322776757063565,,,0.40285714285714286,0.3408063803717725
,,,,0.2835194712794248,,,0.08857142857142856,0.41563999610709484
,,0.5494960737030853,,,0.18959828937909493,,,0.5052741378837069
,,,,0.3767815793225096,0.3360928017490365,,,
,,0.5614501535480946,,,0.07132559702957572,,0.022857142857142857,0.7043588060759267
,,,0.21349422531990328,,,,,
,,0.43962159154145797,,0.30962577413899717,,,0.02857142857142857,
,0.01796827313277661,,0.09249320834780611,0.05339655634719343,,,,0.6971619223964327
0.1063867374547889,0.11440922963410137,0.48892186566087514,,0.09982093453751739,,,0.07714285714285714,0.5873071327505621
0.09849015151615777,0.1429359090451756,,,,,,0.10571428571428572,0.6055364098929701
