0,1,2,3,4,5,6,7,8,9,10,11,12
,0.0,,0.0,,,,,0.043478260869565216,,0.5531914893617023,0.9999999999999999,0.2044701986754967
0.00023569774400055392,,0.2423020527859238,0.0,0.17283950617283939,,0.5993820803295572,0.3489619801944185,0.043478260869565216,0.10496183206106868,,0.9897372535175752,0.06346578366445917
,,,,0.15020576131687247,,,0.44854458983895457,,,,,0.03338852097130243
,,,,,,,0.44854458983895457,,,0.6489361702127658,0.9999999999999999,0.09933774834437087
0.000264471526768385,,0.06304985337243403,,,,,0.44854458983895457,,,,,
,0.125,,,,0.5002874113814907,,,0.17391304347826086,,,,
,,,,,0.3966277064571758,,,0.17391304347826086,0.2366412213740458,0.2765957446808509,0.9741035856573705,
,,,,0.28600823045267487,,,0.4635033509443571,,,,,0.31843267108167767
,,,0.0,,,,0.325355327410452,,,0.8936170212765959,,
,,,,,,0.8403707518022657,,,0.22900763358778625,0.8936170212765959,,
,,,0.0,,0.4355240467522513,,,,,,,0.1859823399558499
,0.0,0.28152492668621704,0.0,,,0.2718846549948507,0.3063590648273604,,,,,0.13383002207505518
,,0.28152492668621704,,,,,,0.13043478260869565,,,,
,,,,,,0.685890834191555,,0.13043478260869565,,,,0.26352097130242824
0.013998782509316635,0.0,,,,0.384939643609887,,,,,,,0.5322847682119205
,,0.28152492668621704,,,,,,0.13043478260869565,,0.8936170212765959,,
,,0.28152492668621704,,,,,,,,0.8936170212765959,0.9935195925160119,
0.009376431664289083,,,,0.31481481481481477,,,0.30235793723685767,,,,0.764284633617429,
0.010671589081608293,0.0,0.28152492668621704,,,,,0.30224881557529854,0.13043478260869565,0.22900763358778625,,0.7717484492410106,
,,,0.0,0.31481481481481477,0.5964744203870475,0.8692070030895983,,0.13043478260869565,,,0.9579656059307076,0.2828366445916115
,,,,,,,,0.13043478260869565,,,,
,,,,0.31481481481481477,0.4811266526154435,1.0,,,,,,
,0.0,,,,,0.8146240988671473,,,0.22900763358778625,,,0.7168874172185431
,0.0,,0.0,,,0.9485066941297631,0.24166810646636777,,,0.8936170212765959,0.9038529426597407,
,,0.20161290322580644,,,0.43686529986587475,,0.20444852640289535,0.17391304347826086,,,,0.2671081677704194
,,,,,,,0.25503551000736574,,0.17557251908396948,,,0.19426048565121412
,0.0,,,,,,,,,,0.99125018911695,
0.00023951926202440645,0.75,,,,0.5813374209618701,0.1946446961894954,0.38842764779165034,0.08695652173913043,,0.6063829787234043,,
0.00030650822503076327,0.75,0.09127565982404694,0.0,,,,,,0.12404580152671751,0.6063829787234043,,0.006898454746136866
,0.0,,,,,,,,,,,
,,0.23643695014662755,,0.12962962962962965,0.4997125886185093,0.03810504634397528,,0.08695652173913043,,0.5638297872340423,,
0.0017201327010894023,,,,,0.5077601073002492,,,,,0.5638297872340423,0.9938473952292097,0.157560706401766
,,,,,,0.31822863027806386,,,,0.5638297872340423,,
,,,,,,,,,0.08778625954198471,,,0.34271523178807944
0.0025059042453468524,,,,0.12962962962962965,,,,0.08695652173913043,,0.5638297872340423,,
,,0.23643695014662755,,0.12962962962962965,,,,,,,0.9999999999999999,0.8024282560706402
,,,,0.11111111111111105,,,0.5169729651083488,0.13043478260869565,,0.44680851063829796,,0.184878587196468
,,,0.0,,0.5407166123778501,,,,,0.5,0.9999999999999999,
,1.0,,,,,,,,,0.26595744680851063,,0.06125827814569537
,,,,,,0.27085478887744596,0.6079167765461176,,,,0.9843159009531495,
,,,,,,0.4562306900102987,,,0.1851145038167939,,,0.20667770419426051
,,0.17118768328445746,0.0,0.13991769547325106,0.4177045410998276,,0.5543198537769736,0.30434782608695654,,,0.995486408795199,
,,,,0.13991769547325106,,0.9320288362512874,0.5173185170366195,,,,,
,,,,,0.5547039662770646,,0.5543289472487702,,,,,
0.0013507942238429455,,,,,0.6133358881011687,0.41709577754891863,,,0.1851145038167939,0.7553191489361701,,
,,,0.0,,,,0.735961952914003,0.08695652173913043,,,,
,0.8,,0.0,0.026748971193415683,,,,,,0.37234042553191493,,0.08112582781456953
,,0.10667155425219943,,,,,,,,0.37234042553191493,,
,,0.2056451612903226,0.0,0.0493827160493826,0.3895382257137384,,,,,0.6702127659574466,,
,,,,,,,,,,,,
,0.0,,,,,0.03810504634397528,,,,,,0.1376931567328918
,0.0,,,0.057613168724279795,,,0.37807927688712273,0.13043478260869565,,0.7021276595744679,,
,,,0.0,0.057613168724279795,,,,,0.22519083969465642,,,
,,,,,0.5221306763747843,0.43357363542739447,0.30672280369922433,0.17391304347826086,,0.6489361702127658,,0.19895143487858719
0.0010701374442676555,,0.45344574780058655,0.0,,,0.737384140061792,,,,,,0.282560706401766
,0.0,,,,0.5117838666411191,,,,0.4026717557251908,,,
0.0003912560070891407,0.25,,,0.08436213991769548,,,,0.13043478260869565,,,,
,,,,,,,0.38839127390446393,,,,,
0.00032808856210663655,0.25,,,,,,0.38839127390446393,0.13043478260869565,,,,
,0.0,,,,0.541866257903813,,0.3318935336322054,,,,,
0.0005735648963446956,0.0,,,,,,,,,0.6276595744680851,,
,,0.14772727272727273,,,,,0.29986632596459,,,0.6276595744680851,0.9977053810076152,0.30711920529801323
